gender;star1;star2;star3;read1;read2;math1;math2;school1;school2;school3;experience1;experience2;experience3;EndScore
female;NA;NA;regular;NA;NA;NA;NA;NA;NA;suburban;NA;NA;30;572
female;small;small;small;507;568;538;579;rural;rural;rural;7;3;1;590
female;small;regular+aide;regular+aide;579;588;592;579;suburban;suburban;suburban;32;4;4;642
male;NA;NA;small;NA;NA;NA;NA;NA;NA;rural;NA;NA;10;677
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;NA;regular;regular;NA;NA;NA;NA;NA;rural;rural;NA;13;15;646
male;NA;NA;regular+aide;NA;NA;NA;NA;NA;NA;inner-city;NA;NA;17;NA
female;regular+aide;regular+aide;regular+aide;475;573;512;550;rural;rural;rural;8;13;23;591
male;regular;regular;regular;NA;NA;NA;NA;rural;rural;rural;13;6;8;NA
male;regular;regular;regular;651;596;532;590;rural;rural;rural;7;8;8;622
male;regular;regular;regular;651;614;584;639;rural;rural;rural;11;31;7;663
male;small;small;small;533;608;545;603;rural;rural;rural;15;14;14;657
male;regular;regular;regular;558;608;553;579;rural;rural;rural;0;9;8;593
female;regular;NA;NA;454;NA;490;NA;inner-city;NA;NA;5;NA;NA;NA
female;NA;regular;regular;NA;586;NA;603;NA;suburban;suburban;NA;4;19;619
female;regular;small;small;505;539;493;590;urban;urban;urban;17;28;13;593
female;regular;NA;NA;472;NA;481;NA;suburban;NA;NA;1;NA;NA;NA
female;NA;regular+aide;regular+aide;NA;520;NA;540;NA;inner-city;inner-city;NA;2;26;592
female;NA;NA;small;NA;NA;NA;NA;NA;NA;inner-city;NA;NA;21;NA
male;small;NA;NA;571;NA;567;NA;suburban;NA;NA;14;NA;NA;NA
female;regular;regular;regular;548;596;567;587;rural;rural;rural;5;18;13;637
male;regular+aide;NA;NA;453;NA;484;NA;rural;NA;NA;13;NA;NA;NA
female;small;small;small;514;569;461;584;rural;rural;rural;31;14;14;601
male;NA;NA;regular+aide;NA;NA;NA;NA;NA;NA;rural;NA;NA;2;587
female;small;small;small;530;608;507;546;rural;rural;rural;4;1;24;630
male;NA;NA;regular+aide;NA;NA;NA;NA;NA;NA;rural;NA;NA;13;564
female;NA;NA;regular+aide;NA;NA;NA;NA;NA;NA;rural;NA;NA;17;642
male;regular;regular;regular;490;622;567;615;rural;rural;rural;19;14;3;639
male;regular+aide;regular+aide;regular+aide;503;552;512;574;rural;rural;rural;16;8;12;566
female;NA;NA;regular;NA;NA;NA;NA;NA;NA;suburban;NA;NA;NA;646
female;small;small;small;548;NA;532;NA;urban;rural;rural;15;33;12;633
male;small;small;small;629;659;584;632;suburban;suburban;suburban;16;10;6;706
male;small;small;small;519;559;512;590;rural;rural;rural;6;4;13;602
male;regular+aide;regular;regular;571;586;572;561;suburban;suburban;suburban;13;9;15;610
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
female;regular;regular;NA;503;559;497;543;suburban;suburban;NA;23;10;NA;NA
female;regular;regular;regular;503;566;538;552;rural;rural;rural;42;15;9;573
female;small;small;small;544;643;502;568;rural;rural;rural;14;6;2;629
male;small;small;small;501;577;545;593;rural;rural;rural;16;18;12;657
male;regular+aide;regular+aide;NA;521;NA;557;NA;urban;urban;NA;8;17;NA;NA
male;regular;NA;NA;477;NA;484;NA;rural;NA;NA;2;NA;NA;NA
female;NA;regular;regular;NA;481;NA;500;NA;rural;rural;NA;19;0;541
male;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;NA;regular;regular;NA;596;NA;620;NA;inner-city;inner-city;NA;40;5;640
female;NA;NA;regular+aide;NA;NA;NA;NA;NA;NA;inner-city;NA;NA;2;NA
male;regular+aide;NA;NA;439;NA;463;NA;rural;NA;NA;8;NA;NA;NA
male;small;small;small;492;549;515;587;urban;urban;urban;5;9;13;597
male;regular+aide;regular+aide;small;521;542;502;530;urban;urban;urban;15;20;14;581
female;NA;regular+aide;regular+aide;NA;568;NA;548;NA;suburban;suburban;NA;21;32;585
female;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
male;regular;regular+aide;regular;478;582;567;611;inner-city;inner-city;inner-city;5;35;14;632
female;regular;regular;NA;457;NA;510;NA;suburban;suburban;NA;16;12;NA;NA
female;regular+aide;regular+aide;regular+aide;651;669;627;659;urban;urban;urban;8;19;16;688
female;regular;regular;regular;553;611;553;603;rural;rural;rural;12;1;18;626
male;small;NA;NA;536;NA;578;NA;rural;NA;NA;11;NA;NA;NA
male;NA;regular;NA;NA;555;NA;611;NA;inner-city;NA;NA;2;NA;NA
